日期,账户,收支类型,一级分类,支付方式,金额,是否固定,备注
2025-05-22,家庭账户,收入,工资,银行卡,3605.22,是,固定项目
2025-05-25,个人账户,支出,娱乐,现金,138.87,否,日常记录
2025-05-28,储蓄账户,收入,奖金,现金,5531.47,否,日常记录
2025-05-31,储蓄账户,支出,住房,微信,1244.37,是,固定项目
2025-06-03,个人账户,收入,奖金,支付宝,5598.37,否,日常记录
2025-06-06,储蓄账户,支出,购物,支付宝,1388.35,否,日常记录
2025-06-09,家庭账户,支出,娱乐,支付宝,1028.02,否,日常记录
2025-06-12,储蓄账户,支出,餐饮,微信,1660.42,否,日常记录
2025-06-15,储蓄账户,收入,奖金,微信,3541.21,否,日常记录
2025-06-18,家庭账户,支出,交通,现金,377.05,否,日常记录
2025-06-21,个人账户,收入,奖金,银行卡,9543.79,否,日常记录
2025-06-24,个人账户,收入,奖金,微信,11622.03,否,日常记录
2025-06-27,家庭账户,支出,交通,支付宝,2061.88,否,日常记录
2025-06-30,储蓄账户,支出,医疗,银行卡,1109.37,否,日常记录
2025-07-03,储蓄账户,支出,购物,微信,34.18,否,日常记录
2025-07-06,个人账户,收入,工资,现金,3664.18,是,固定项目
2025-07-09,家庭账户,支出,娱乐,现金,1653.95,否,日常记录
2025-07-12,个人账户,收入,工资,微信,9727.3,是,固定项目
2025-07-15,个人账户,收入,工资,微信,5288.73,是,固定项目
2025-07-18,储蓄账户,支出,餐饮,微信,1079.15,否,日常记录
2025-07-21,家庭账户,支出,餐饮,支付宝,1586.52,否,日常记录
2025-07-24,个人账户,支出,医疗,支付宝,385.87,否,日常记录
2025-07-27,储蓄账户,支出,交通,微信,1005.85,否,日常记录
2025-07-30,家庭账户,收入,工资,银行卡,6072.96,是,固定项目
2025-08-02,储蓄账户,支出,医疗,支付宝,2167.86,否,日常记录
2025-08-05,储蓄账户,支出,住房,银行卡,1046.54,是,固定项目
2025-08-08,家庭账户,支出,购物,微信,92.32,否,日常记录
2025-08-11,储蓄账户,支出,购物,支付宝,249.65,否,日常记录
2025-08-14,储蓄账户,支出,交通,支付宝,1116.65,否,日常记录
2025-08-17,储蓄账户,支出,交通,支付宝,2101.7,否,日常记录
2025-08-20,储蓄账户,收入,奖金,微信,8820.07,否,日常记录
2025-08-23,储蓄账户,收入,奖金,支付宝,4363.65,否,日常记录
2025-08-26,储蓄账户,收入,奖金,微信,3024.64,否,日常记录
2025-08-29,家庭账户,收入,奖金,支付宝,8498.32,否,日常记录
2025-09-01,个人账户,收入,奖金,现金,11847.0,否,日常记录
2025-09-04,家庭账户,收入,工资,现金,5914.79,是,固定项目
2025-09-07,个人账户,支出,餐饮,微信,26.29,否,日常记录
2025-09-10,储蓄账户,支出,交通,现金,238.82,否,日常记录
2025-09-13,个人账户,支出,交通,支付宝,1861.25,否,日常记录
2025-09-16,家庭账户,支出,餐饮,支付宝,1904.63,否,日常记录
2025-09-19,个人账户,支出,餐饮,现金,1346.83,否,日常记录
2025-09-22,家庭账户,收入,奖金,银行卡,4808.22,否,日常记录
2025-09-25,储蓄账户,支出,娱乐,支付宝,2187.54,否,日常记录
2025-09-28,储蓄账户,收入,奖金,现金,7310.17,否,日常记录
2025-10-01,储蓄账户,收入,工资,微信,4611.36,是,固定项目
2025-10-04,家庭账户,支出,娱乐,微信,380.66,否,日常记录
2025-10-07,家庭账户,收入,工资,微信,3892.55,是,固定项目
2025-10-10,家庭账户,支出,住房,现金,130.94,是,固定项目
2025-10-13,家庭账户,收入,奖金,微信,10523.92,否,日常记录
2025-10-16,储蓄账户,支出,购物,银行卡,1653.71,否,日常记录
2025-10-19,个人账户,收入,工资,微信,7525.57,是,固定项目
2025-10-22,储蓄账户,支出,娱乐,微信,2053.44,否,日常记录
2025-10-25,个人账户,支出,住房,银行卡,1944.98,是,固定项目
