学员编号,课程,班级,学习时长,作业得分,考试得分,完成率,是否通过
STU-0049,SQL 数据分析,第2期,16.9,85.1,93.8,45.0,否
STU-0050,SQL 数据分析,第3期,29.7,64.6,97.8,90.2,是
STU-0051,项目管理,第6期,12.7,90.4,88.0,40.4,否
STU-0052,沟通表达,第5期,13.4,94.8,95.0,44.8,否
STU-0053,项目管理,第5期,14.2,83.0,68.2,36.0,否
STU-0054,Python 入门,第3期,10.4,61.9,66.1,23.0,否
STU-0055,Python 入门,第1期,22.7,62.6,74.6,67.6,是
STU-0056,办公效率,第3期,30.0,62.1,99.6,88.0,是
STU-0057,办公效率,第4期,14.6,90.8,75.6,41.3,否
STU-0058,项目管理,第3期,22.3,78.6,87.5,60.1,是
STU-0059,沟通表达,第4期,29.5,78.6,86.6,80.0,是
STU-0060,SQL 数据分析,第5期,35.9,85.9,100.0,93.8,是
STU-0061,Python 入门,第4期,34.6,62.1,95.2,90.7,是
STU-0062,办公效率,第2期,35.0,94.2,100.0,98.7,是
STU-0063,沟通表达,第2期,10.3,70.6,68.5,21.5,否
STU-0064,Python 入门,第1期,13.3,78.3,79.1,41.1,否
STU-0065,SQL 数据分析,第3期,32.0,63.0,100.0,95.4,是
STU-0066,办公效率,第5期,36.0,75.9,100.0,100.0,是
STU-0067,办公效率,第6期,12.2,79.6,70.9,40.7,否
STU-0068,Python 入门,第4期,13.1,69.3,78.4,36.2,否
STU-0069,沟通表达,第3期,34.7,55.1,100.0,100.0,是
STU-0070,沟通表达,第6期,29.5,68.7,93.1,75.1,是
STU-0071,办公效率,第3期,25.1,96.3,98.8,65.2,是
STU-0072,办公效率,第3期,35.3,73.8,100.0,96.8,是
STU-0073,办公效率,第4期,19.9,94.2,99.3,54.2,否
STU-0074,SQL 数据分析,第1期,5.7,59.6,67.9,21.2,否
STU-0075,办公效率,第1期,22.5,72.1,87.5,61.8,是
STU-0076,沟通表达,第5期,18.3,89.1,80.6,51.1,否
STU-0077,办公效率,第3期,3.1,91.4,54.9,6.9,否
STU-0078,项目管理,第4期,20.6,79.0,72.8,61.3,是
STU-0079,项目管理,第1期,30.4,84.3,90.5,89.5,是
STU-0080,沟通表达,第2期,8.8,61.2,55.8,27.4,否
STU-0081,沟通表达,第3期,35.8,82.1,100.0,97.6,是
STU-0082,SQL 数据分析,第2期,30.2,67.1,92.5,91.7,是
STU-0083,沟通表达,第6期,17.3,61.2,65.3,40.2,否
STU-0084,项目管理,第6期,24.7,97.8,87.8,74.7,是
STU-0085,沟通表达,第5期,6.6,57.9,63.3,14.2,否
STU-0086,项目管理,第6期,28.1,63.1,84.0,84.7,是
STU-0087,项目管理,第6期,26.7,91.2,87.8,81.6,是
STU-0088,办公效率,第5期,7.8,86.7,67.4,18.1,否
STU-0089,办公效率,第1期,6.3,71.8,67.3,16.9,否
STU-0090,Python 入门,第2期,26.7,91.1,94.1,79.8,是
STU-0091,SQL 数据分析,第2期,9.6,95.1,70.1,29.7,否
STU-0092,沟通表达,第1期,4.6,61.3,63.3,8.7,否
STU-0093,项目管理,第4期,32.7,72.4,89.6,87.3,是
STU-0094,Python 入门,第6期,27.4,55.5,78.2,72.1,是
STU-0095,沟通表达,第4期,15.3,72.0,64.5,36.0,否
STU-0096,Python 入门,第3期,23.4,68.0,73.9,63.0,是
STU-0097,Python 入门,第2期,4.3,76.4,59.8,14.3,否
STU-0098,沟通表达,第1期,35.4,68.2,100.0,98.7,是
STU-0099,项目管理,第2期,29.7,66.8,89.0,88.2,是
STU-0100,Python 入门,第4期,35.4,76.3,92.0,99.5,是
STU-0101,办公效率,第4期,24.8,62.5,76.1,65.4,是
STU-0102,沟通表达,第1期,34.0,97.6,100.0,100.0,是
STU-0103,沟通表达,第2期,6.9,68.8,58.2,23.4,否
STU-0104,Python 入门,第3期,24.9,97.7,100.0,66.7,是
STU-0105,项目管理,第3期,22.0,57.3,83.8,63.9,是
STU-0106,Python 入门,第4期,24.6,91.5,100.0,73.8,是
STU-0107,SQL 数据分析,第2期,24.6,94.4,97.8,75.7,是
STU-0108,项目管理,第5期,6.3,64.2,62.2,16.4,否
STU-0109,Python 入门,第6期,11.0,84.2,82.2,28.8,否
STU-0110,Python 入门,第4期,13.7,63.3,79.3,42.0,否
STU-0111,SQL 数据分析,第2期,4.9,85.3,68.4,13.2,否
STU-0112,办公效率,第6期,10.8,70.4,63.3,37.4,否
STU-0113,SQL 数据分析,第1期,29.4,76.4,96.8,78.9,是
STU-0114,沟通表达,第2期,24.6,55.2,97.5,65.9,是
STU-0115,SQL 数据分析,第2期,21.7,86.5,89.8,62.0,是
STU-0116,SQL 数据分析,第2期,19.9,76.0,73.3,59.5,否
STU-0117,沟通表达,第1期,10.8,60.3,81.1,33.7,否
STU-0118,办公效率,第4期,12.0,97.1,81.6,39.9,否
STU-0119,SQL 数据分析,第3期,30.3,93.8,100.0,90.6,是
STU-0120,项目管理,第3期,6.2,62.1,47.5,14.3,否
