员工编号,部门,日期,出勤状态,迟到分钟,加班小时,请假类型
EMP-0055,运营部,2025-06-10,正常,0,0.3,无
EMP-0056,产品部,2025-06-03,正常,0,0.4,无
EMP-0057,研发部,2025-06-23,正常,0,2.9,无
EMP-0058,产品部,2025-06-30,正常,0,3.9,无
EMP-0059,销售部,2025-06-25,正常,0,3.2,无
EMP-0060,财务部,2025-06-21,正常,0,0.0,无
EMP-0061,研发部,2025-06-25,正常,0,4.5,无
EMP-0062,财务部,2025-06-20,迟到,33,0.0,无
EMP-0063,研发部,2025-06-20,迟到,22,0.0,无
EMP-0064,运营部,2025-06-05,正常,0,0.2,无
EMP-0065,运营部,2025-06-29,正常,0,0.7,无
EMP-0066,销售部,2025-06-25,请假,0,0.0,无
EMP-0067,销售部,2025-06-17,正常,0,3.2,无
EMP-0068,销售部,2025-06-28,正常,0,4.3,无
EMP-0069,产品部,2025-06-30,出差,0,4.1,无
EMP-0070,产品部,2025-06-04,正常,0,4.5,无
EMP-0071,销售部,2025-06-25,正常,0,2.5,无
EMP-0072,财务部,2025-06-10,请假,0,0.0,病假
EMP-0073,运营部,2025-06-29,正常,0,0.0,无
EMP-0074,销售部,2025-06-08,正常,0,4.1,无
EMP-0075,产品部,2025-06-01,正常,0,3.7,无
EMP-0076,产品部,2025-06-08,正常,0,4.5,无
EMP-0077,销售部,2025-06-24,正常,0,3.9,无
EMP-0078,运营部,2025-06-22,正常,0,2.3,无
EMP-0079,产品部,2025-06-20,正常,0,4.0,无
EMP-0080,产品部,2025-06-23,正常,0,0.8,无
EMP-0081,研发部,2025-06-23,正常,0,4.4,无
EMP-0082,研发部,2025-06-23,正常,0,2.0,无
EMP-0083,财务部,2025-06-18,正常,0,0.6,无
EMP-0084,销售部,2025-06-30,正常,0,2.5,无
EMP-0085,财务部,2025-06-25,正常,0,3.6,无
EMP-0086,财务部,2025-06-02,迟到,15,0.0,无
EMP-0087,运营部,2025-06-09,正常,0,0.2,无
EMP-0088,运营部,2025-06-12,正常,0,1.2,无
EMP-0089,财务部,2025-06-25,正常,0,1.8,无
EMP-0090,财务部,2025-06-21,正常,0,3.9,无
EMP-0091,财务部,2025-06-28,出差,0,0.3,无
EMP-0092,产品部,2025-06-02,正常,0,2.7,无
EMP-0093,研发部,2025-06-26,正常,0,3.4,无
EMP-0094,产品部,2025-06-15,正常,0,4.3,无
EMP-0095,销售部,2025-06-20,正常,0,2.4,无
EMP-0096,财务部,2025-06-08,正常,0,0.6,无
EMP-0097,产品部,2025-06-01,正常,0,2.3,无
EMP-0098,研发部,2025-06-13,正常,0,3.1,无
EMP-0099,财务部,2025-06-16,正常,0,3.5,无
EMP-0100,产品部,2025-06-23,正常,0,1.6,无
EMP-0101,研发部,2025-06-28,正常,0,3.8,无
EMP-0102,产品部,2025-06-22,正常,0,3.1,无
EMP-0103,产品部,2025-06-28,正常,0,1.4,无
EMP-0104,产品部,2025-06-23,正常,0,1.6,无
EMP-0105,运营部,2025-06-28,正常,0,0.9,无
EMP-0106,产品部,2025-06-05,正常,0,2.1,无
EMP-0107,销售部,2025-06-28,请假,0,0.0,病假
EMP-0108,研发部,2025-06-21,正常,0,1.5,无
EMP-0109,财务部,2025-06-19,出差,0,0.7,无
EMP-0110,产品部,2025-06-29,正常,0,1.0,无
EMP-0111,财务部,2025-06-27,出差,0,1.9,无
EMP-0112,研发部,2025-06-28,正常,0,2.8,无
EMP-0113,研发部,2025-06-14,正常,0,1.3,无
EMP-0114,研发部,2025-06-18,正常,0,1.7,无
EMP-0115,运营部,2025-06-17,正常,0,2.1,无
EMP-0116,财务部,2025-06-28,正常,0,2.7,无
EMP-0117,产品部,2025-06-13,正常,0,0.6,无
EMP-0118,运营部,2025-06-09,请假,0,0.0,事假
EMP-0119,运营部,2025-06-16,请假,0,0.0,无
EMP-0120,销售部,2025-06-29,迟到,19,0.0,无
