客户编号,注册渠道,会员等级,首次购买日期,订单次数,累计消费,最近购买日期,平均客单价,客户状态
CUS-0023,短视频,金卡会员,2024-03-07,16,2104.41,2024-07-13,131.53,活跃
CUS-0024,朋友推荐,银卡会员,2024-10-08,9,740.78,2025-11-12,82.31,活跃
CUS-0025,自然搜索,黑金会员,2024-07-25,12,638.41,2024-10-15,53.2,沉睡
CUS-0026,自然搜索,黑金会员,2024-12-03,5,1834.0,2024-12-27,366.8,待召回
CUS-0027,线下门店,银卡会员,2024-12-09,17,626.24,2025-01-30,36.84,沉睡
CUS-0028,自然搜索,银卡会员,2024-02-23,5,920.61,2024-11-25,184.12,待召回
CUS-0029,朋友推荐,普通会员,2024-05-18,8,4490.18,2024-10-18,561.27,待召回
CUS-0030,短视频,黑金会员,2024-04-19,12,1928.26,2024-08-27,160.69,待召回
CUS-0031,线下门店,银卡会员,2024-10-08,15,8187.53,2024-11-04,545.84,待召回
CUS-0032,自然搜索,金卡会员,2024-01-29,8,3492.99,2024-04-21,436.62,沉睡
CUS-0033,短视频,金卡会员,2024-06-17,15,6568.09,2025-05-07,437.87,活跃
CUS-0034,短视频,银卡会员,2024-11-29,14,7262.17,2025-09-01,518.73,活跃
CUS-0035,线下门店,银卡会员,2024-11-10,11,3434.15,2025-04-14,312.2,待召回
CUS-0036,线下门店,金卡会员,2024-12-14,12,6229.15,2025-07-27,519.1,沉睡
CUS-0037,短视频,普通会员,2024-09-02,6,2491.76,2025-10-03,415.29,沉睡
CUS-0038,短视频,普通会员,2024-12-23,5,1473.53,2025-12-21,294.71,活跃
CUS-0039,短视频,银卡会员,2024-06-04,10,3241.5,2024-12-19,324.15,活跃
CUS-0040,线下门店,金卡会员,2024-12-14,9,2945.9,2025-03-23,327.32,待召回
CUS-0041,线下门店,金卡会员,2024-03-14,12,6042.1,2025-04-15,503.51,待召回
CUS-0042,自然搜索,银卡会员,2024-09-15,18,10563.82,2025-05-19,586.88,活跃
CUS-0043,短视频,金卡会员,2024-11-09,12,3412.45,2025-11-17,284.37,活跃
CUS-0044,自然搜索,普通会员,2024-08-14,1,34.92,2025-10-03,34.92,待召回
CUS-0045,线下门店,银卡会员,2024-11-26,11,6577.02,2024-12-20,597.91,待召回
CUS-0046,线下门店,银卡会员,2024-02-03,11,6459.54,2024-05-28,587.23,活跃
CUS-0047,朋友推荐,银卡会员,2024-06-04,5,2575.72,2024-08-26,515.14,活跃
CUS-0048,短视频,银卡会员,2024-10-09,12,4360.41,2025-03-16,363.37,沉睡
CUS-0049,自然搜索,黑金会员,2024-01-24,14,1688.07,2024-07-11,120.58,待召回
CUS-0050,自然搜索,银卡会员,2024-05-31,18,8131.32,2025-02-24,451.74,待召回
CUS-0051,自然搜索,黑金会员,2024-08-04,13,873.36,2025-07-12,67.18,沉睡
CUS-0052,线下门店,黑金会员,2024-03-17,2,182.22,2024-04-16,91.11,沉睡
CUS-0053,自然搜索,黑金会员,2024-02-26,18,1490.04,2024-12-19,82.78,活跃
CUS-0054,自然搜索,黑金会员,2024-04-19,11,6561.83,2025-02-02,596.53,沉睡
CUS-0055,短视频,银卡会员,2024-03-31,2,884.8,2024-12-03,442.4,沉睡
CUS-0056,短视频,普通会员,2024-12-08,11,4513.04,2026-01-07,410.28,沉睡
CUS-0057,朋友推荐,黑金会员,2024-07-15,1,28.67,2024-09-18,28.67,活跃
CUS-0058,朋友推荐,黑金会员,2024-11-08,17,5023.63,2025-09-29,295.51,沉睡
CUS-0059,短视频,普通会员,2024-01-09,9,4987.06,2024-04-15,554.12,活跃
CUS-0060,短视频,银卡会员,2024-12-04,5,1425.76,2025-10-02,285.15,沉睡
CUS-0061,朋友推荐,金卡会员,2024-01-05,8,1248.16,2024-12-04,156.02,活跃
CUS-0062,自然搜索,普通会员,2024-01-26,8,2303.79,2024-07-24,287.97,沉睡
CUS-0063,线下门店,银卡会员,2024-01-20,4,167.59,2024-07-15,41.9,沉睡
CUS-0064,线下门店,银卡会员,2024-07-03,17,4256.37,2025-01-30,250.37,活跃
CUS-0065,自然搜索,普通会员,2024-05-12,17,1216.63,2025-04-02,71.57,待召回
CUS-0066,短视频,银卡会员,2024-07-23,11,4122.91,2025-04-03,374.81,活跃
CUS-0067,短视频,银卡会员,2024-05-28,8,1258.71,2024-08-24,157.34,活跃
CUS-0068,朋友推荐,黑金会员,2024-03-09,3,214.34,2024-12-23,71.45,沉睡
CUS-0069,朋友推荐,金卡会员,2024-11-24,5,931.04,2025-08-13,186.21,待召回
CUS-0070,自然搜索,银卡会员,2024-03-30,13,523.32,2025-01-17,40.26,沉睡
CUS-0071,朋友推荐,金卡会员,2024-10-23,6,538.46,2025-09-22,89.74,沉睡
CUS-0072,短视频,金卡会员,2024-10-27,2,755.66,2025-06-15,377.83,待召回
CUS-0073,短视频,银卡会员,2024-04-25,2,86.08,2024-05-25,43.04,待召回
CUS-0074,朋友推荐,普通会员,2024-11-19,6,787.99,2025-10-13,131.33,待召回
CUS-0075,短视频,金卡会员,2024-09-13,18,3168.53,2025-08-05,176.03,待召回
CUS-0076,自然搜索,普通会员,2024-03-25,7,997.55,2024-07-27,142.51,待召回
CUS-0077,短视频,黑金会员,2024-11-19,8,3802.74,2025-01-21,475.34,活跃
CUS-0078,自然搜索,黑金会员,2024-09-13,10,4642.5,2025-09-23,464.25,沉睡
CUS-0079,朋友推荐,普通会员,2024-06-14,6,1735.4,2025-01-22,289.23,沉睡
CUS-0080,短视频,银卡会员,2024-05-22,5,1348.48,2025-03-21,269.7,沉睡
CUS-0081,线下门店,普通会员,2024-09-21,9,5387.66,2025-01-18,598.63,活跃
CUS-0082,自然搜索,普通会员,2024-06-11,6,3147.02,2025-08-03,524.5,沉睡
CUS-0083,自然搜索,黑金会员,2024-09-12,7,4084.3,2025-01-05,583.47,沉睡
CUS-0084,短视频,黑金会员,2024-08-05,1,139.99,2025-05-25,139.99,待召回
CUS-0085,朋友推荐,黑金会员,2024-10-03,12,4546.07,2025-02-28,378.84,沉睡
CUS-0086,自然搜索,黑金会员,2024-06-02,18,2717.19,2024-09-02,150.96,活跃
CUS-0087,朋友推荐,普通会员,2024-09-21,11,790.48,2025-03-14,71.86,待召回
CUS-0088,朋友推荐,普通会员,2024-02-05,17,569.6,2024-10-03,33.51,活跃
CUS-0089,短视频,金卡会员,2024-11-05,15,5265.74,2025-01-29,351.05,沉睡
CUS-0090,自然搜索,银卡会员,2024-04-14,5,2103.61,2024-06-29,420.72,沉睡
CUS-0091,短视频,银卡会员,2024-02-23,8,3084.17,2024-11-03,385.52,沉睡
CUS-0092,朋友推荐,普通会员,2024-06-28,9,4461.34,2024-10-05,495.7,活跃
CUS-0093,朋友推荐,银卡会员,2024-06-03,12,770.96,2025-06-26,64.25,沉睡
CUS-0094,自然搜索,银卡会员,2024-08-20,7,3267.74,2025-03-09,466.82,待召回
CUS-0095,短视频,金卡会员,2024-05-06,1,195.17,2024-12-13,195.17,活跃
CUS-0096,自然搜索,普通会员,2024-07-21,2,825.45,2024-10-14,412.73,沉睡
CUS-0097,线下门店,金卡会员,2024-07-29,2,831.89,2024-10-06,415.94,活跃
CUS-0098,朋友推荐,银卡会员,2024-06-06,4,1549.48,2025-06-30,387.37,活跃
CUS-0099,自然搜索,黑金会员,2024-07-26,6,2487.49,2024-10-20,414.58,活跃
CUS-0100,朋友推荐,银卡会员,2024-11-30,10,4537.43,2025-02-20,453.74,活跃
CUS-0101,朋友推荐,普通会员,2024-01-27,6,1812.75,2024-09-04,302.12,活跃
CUS-0102,朋友推荐,普通会员,2024-05-18,18,8248.61,2025-02-03,458.26,活跃
CUS-0103,线下门店,银卡会员,2024-01-08,2,781.27,2024-08-08,390.63,待召回
CUS-0104,朋友推荐,普通会员,2024-02-21,11,897.18,2024-05-07,81.56,活跃
CUS-0105,线下门店,普通会员,2024-06-11,4,2314.92,2024-11-07,578.73,待召回
CUS-0106,朋友推荐,金卡会员,2024-03-30,16,8665.97,2025-05-23,541.62,沉睡
CUS-0107,短视频,黑金会员,2024-07-30,17,4550.2,2025-03-24,267.66,沉睡
CUS-0108,短视频,金卡会员,2024-05-07,4,2246.83,2024-09-14,561.71,待召回
CUS-0109,短视频,普通会员,2024-04-19,12,1650.06,2024-05-20,137.5,活跃
CUS-0110,短视频,黑金会员,2024-05-26,4,1606.26,2024-08-21,401.56,待召回
CUS-0111,线下门店,普通会员,2024-06-07,16,1666.09,2025-02-15,104.13,活跃
CUS-0112,短视频,黑金会员,2024-03-08,11,3532.69,2025-01-23,321.15,待召回
CUS-0113,朋友推荐,黑金会员,2024-08-20,16,7894.38,2025-01-23,493.4,沉睡
CUS-0114,自然搜索,银卡会员,2024-09-28,18,2968.63,2024-11-03,164.92,待召回
CUS-0115,线下门店,黑金会员,2024-06-09,13,1179.48,2025-05-17,90.73,沉睡
CUS-0116,自然搜索,金卡会员,2024-05-17,16,9349.13,2025-02-01,584.32,待召回
CUS-0117,自然搜索,金卡会员,2024-01-20,4,1265.87,2024-12-08,316.47,沉睡
CUS-0118,自然搜索,普通会员,2024-12-12,2,207.58,2025-02-14,103.79,待召回
CUS-0119,朋友推荐,金卡会员,2024-02-23,9,4624.27,2024-12-22,513.81,待召回
CUS-0120,自然搜索,黑金会员,2024-02-11,14,2572.03,2025-02-01,183.72,待召回
