日期,来源渠道,设备,页面,访问次数,访客数,跳出率,平均停留秒数,转化数
2025-07-20,公众号,平板,购物车,5941,4730,0.652,378,199
2025-07-21,短视频,电脑,购物车,5406,4617,0.355,242,248
2025-07-22,短视频,电脑,商品列表,8252,6669,0.246,199,251
2025-07-23,直接访问,电脑,商品详情,6862,5972,0.22,336,84
2025-07-24,自然搜索,电脑,商品列表,5289,4915,0.259,123,466
2025-07-25,广告投放,电脑,购物车,4726,4313,0.258,395,262
2025-07-26,自然搜索,手机,活动页,4963,4034,0.392,298,284
2025-07-27,公众号,手机,首页,5083,3510,0.458,396,69
2025-07-28,直接访问,平板,首页,4570,3090,0.491,147,60
2025-07-29,短视频,平板,首页,1631,1325,0.643,340,14
2025-07-30,广告投放,平板,购物车,6787,6586,0.604,135,172
2025-07-01,公众号,平板,商品列表,5466,4196,0.486,230,359
2025-07-02,自然搜索,手机,商品列表,4904,3433,0.515,177,71
2025-07-03,自然搜索,电脑,活动页,6765,5605,0.705,345,526
2025-07-04,自然搜索,电脑,商品详情,3475,2616,0.218,43,113
2025-07-05,短视频,平板,商品列表,8044,5835,0.614,108,37
2025-07-06,公众号,电脑,活动页,5311,3894,0.266,328,289
2025-07-07,短视频,平板,商品详情,2547,2319,0.359,251,91
2025-07-08,广告投放,电脑,购物车,8184,5805,0.782,335,116
2025-07-09,自然搜索,电脑,购物车,3801,2808,0.814,359,49
2025-07-10,短视频,手机,活动页,5115,4746,0.383,143,338
2025-07-11,短视频,电脑,商品列表,6087,5093,0.479,84,260
2025-07-12,短视频,平板,首页,2858,2226,0.793,354,157
2025-07-13,直接访问,平板,活动页,5658,4386,0.289,226,71
2025-07-14,公众号,电脑,活动页,3627,2790,0.289,20,191
2025-07-15,公众号,手机,活动页,5910,4097,0.368,356,158
2025-07-16,广告投放,电脑,商品详情,9867,6651,0.636,405,392
2025-07-17,短视频,手机,购物车,4217,3880,0.745,260,235
2025-07-18,短视频,电脑,活动页,5683,5022,0.624,216,17
2025-07-19,自然搜索,手机,商品详情,634,470,0.69,92,14
2025-07-20,自然搜索,电脑,商品列表,3102,2965,0.733,30,231
2025-07-21,自然搜索,电脑,购物车,5817,5315,0.428,131,181
2025-07-22,公众号,平板,商品详情,7291,5453,0.575,52,165
2025-07-23,广告投放,手机,商品详情,498,368,0.363,396,26
2025-07-24,短视频,平板,商品详情,1885,1418,0.223,152,22
2025-07-25,直接访问,手机,购物车,2705,2414,0.769,338,144
2025-07-26,公众号,电脑,首页,6169,5443,0.463,154,413
2025-07-27,短视频,电脑,商品详情,916,720,0.254,74,28
2025-07-28,自然搜索,电脑,商品详情,375,271,0.421,231,20
2025-07-29,短视频,手机,购物车,300,204,0.299,231,17
2025-07-30,自然搜索,电脑,活动页,4605,3399,0.52,96,47
